날짜,발표처,제목,웹주소
2016-07-21,전라북도,민선6기 상반기 농촌관광 활성화 기반 차질없이 추진 !!,=HYPERLINK("http://www.korea.go.kr/locgovNews/849400?&amp;pageIndex=7")
2016-07-21,전라북도,전업농 연령제한 완화 55세→60세,=HYPERLINK("http://www.korea.go.kr/locgovNews/849399?&amp;pageIndex=7")
2016-07-21,전라북도?순창군,강천산 옥호봉 등산로 정비공사,=HYPERLINK("http://www.korea.go.kr/locgovNews/849544?&amp;pageIndex=5")
2016-07-21,전라북도?완주군,개간사업 시행계획 승인 고시(고산면 소향리 산61-1 조정근),=HYPERLINK("http://www.korea.go.kr/locgovNews/849546?&amp;pageIndex=4")
2016-07-21,전라북도?진안군,돼지 구제역 임상검사확인서 휴대의무제 시행,=HYPERLINK("http://www.korea.go.kr/locgovNews/849551?&amp;pageIndex=4")
2016-07-21,전라북도?진안군,동물생산업소 전수조사 실시,=HYPERLINK("http://www.korea.go.kr/locgovNews/849550?&amp;pageIndex=4")
2016-07-21,전라북도?진안군,분뇨 및 가축분뇨 공공처리시설 수질검사 결과 알림(6월),=HYPERLINK("http://www.korea.go.kr/locgovNews/849549?&amp;pageIndex=4")
2016-07-21,제주특별자치도?서귀포시,성산읍 수산리 자연생태공원 진입로 확포장사업 추진(보도자료 0712),=HYPERLINK("http://www.korea.go.kr/locgovNews/849560?&amp;pageIndex=3")
2016-07-21,제주특별자치도?서귀포시,제주특별자치도보 제599호,=HYPERLINK("http://www.korea.go.kr/locgovNews/849559?&amp;pageIndex=3")
2016-07-21,제주특별자치도?서귀포시,서귀포공공산후조리원 이용료 감면대상 변경(확대) 안내,=HYPERLINK("http://www.korea.go.kr/locgovNews/849558?&amp;pageIndex=3")
2016-07-21,제주특별자치도?서귀포시,2016 제주사회적경제 한마당 행사 개최 알림,=HYPERLINK("http://www.korea.go.kr/locgovNews/849553?&amp;pageIndex=4")
2016-07-21,제주특별자치도?제주시,압류통지서 반송에 따른 공시송달,=HYPERLINK("http://www.korea.go.kr/locgovNews/849547?&amp;pageIndex=4")
2016-07-21,충청북도,“보건·환경 시험분석 마이스터 아카데미 교육”실시,=HYPERLINK("http://www.korea.go.kr/locgovNews/849398?&amp;pageIndex=7")
2016-07-21,충청북도,안전문화 UCC 공모전 개최,=HYPERLINK("http://www.korea.go.kr/locgovNews/849397?&amp;pageIndex=7")
2016-07-21,충청북도,충북 관광객 전년 상반기 대비 160만명 증가,=HYPERLINK("http://www.korea.go.kr/locgovNews/849396?&amp;pageIndex=7")
2016-07-21,충청북도,도정정책자문단 도정 주요사업 현장 방문,=HYPERLINK("http://www.korea.go.kr/locgovNews/849395?&amp;pageIndex=7")
2016-07-21,충청북도,충북도 “더불어민주당과 예산？정책협의회” 개최,=HYPERLINK("http://www.korea.go.kr/locgovNews/849394?&amp;pageIndex=8")
2016-07-21,충청북도,제4회 충북 의료기기 디자인 공모전 개최,=HYPERLINK("http://www.korea.go.kr/locgovNews/849393?&amp;pageIndex=8")
2016-07-21,충청북도,‘충북TP 충북지역 창조경제 실현 첫 걸음’,=HYPERLINK("http://www.korea.go.kr/locgovNews/849392?&amp;pageIndex=8")
2016-07-21,충청북도,충북도 곤충산업육성 5개년계획 발표,=HYPERLINK("http://www.korea.go.kr/locgovNews/849391?&amp;pageIndex=8")
2016-07-21,충청북도,충북창조혁신센터 청주성안길에서 창업카페 열어..,=HYPERLINK("http://www.korea.go.kr/locgovNews/849390?&amp;pageIndex=8")
2016-07-21,충청북도,태권도 신동 ‘강준구’ 군 어린이 명예홍보대사 위촉,=HYPERLINK("http://www.korea.go.kr/locgovNews/849389?&amp;pageIndex=8")
2016-07-21,충청북도?옥천군,옥천국민체육센터 기간제 근로자(운영지원) 모집 공고,=HYPERLINK("http://www.korea.go.kr/locgovNews/849561?&amp;pageIndex=3")
2016-07-22,고용노동부,2016년 청년내일채움공제 시행지침 개정 알림,=HYPERLINK("http://www.korea.go.kr/ntnadmNews/850255?&amp;pageIndex=1")
2016-07-22,고용노동부,빅데이터가 미래직업세계에 미치는 영향은?,=HYPERLINK("http://www.korea.go.kr/ntnadmNews/829361?&amp;pageIndex=2")
2016-07-22,국무조정실,황 총리 “성주 발전 위해 범정부 차원 방안 강구”,=HYPERLINK("http://www.korea.go.kr/ntnadmNews/829364?&amp;pageIndex=2")
2016-07-22,국방부,괌 사드기지서 한국군이 전자파 측정…기준치의 0.007% 불과,=HYPERLINK("http://www.korea.go.kr/ntnadmNews/829363?&amp;pageIndex=2")
2016-07-22,국토교통부,맞춤형 규제완화로 기업투자 ‘2조 6천억 원’ 결실,=HYPERLINK("http://www.korea.go.kr/ntnadmNews/829359?&amp;pageIndex=2")
2016-07-22,농림축산식품부,온라인 정책토론친환경축산물(무항생제) 인증기준 개선 방안,=HYPERLINK("http://www.korea.go.kr/ntnadmNews/850157?&amp;pageIndex=1")
2016-07-22,농림축산식품부,한식요리 콘테스트 세계인의 축제가 되다!,=HYPERLINK("http://www.korea.go.kr/ntnadmNews/829357?&amp;pageIndex=3")
2016-07-22,문화재청,2016년 국가무형문화재 기록도서 위탁출판 공고,=HYPERLINK("http://www.korea.go.kr/ntnadmNews/850097?&amp;pageIndex=2")
2016-07-22,보건복지부,민관 협력 통해 호스피스-연명의료법 후속조치 추진,=HYPERLINK("http://www.korea.go.kr/ntnadmNews/829362?&amp;pageIndex=2")
2016-07-22,산업통상자원부,기술개발을 통한 외국의 비관세장벽 극복,=HYPERLINK("http://www.korea.go.kr/ntnadmNews/850152?&amp;pageIndex=1")
2016-07-22,산업통상자원부,(참고자료)전기위원회 위원장에 박종근 서울대 교수 위촉,=HYPERLINK("http://www.korea.go.kr/ntnadmNews/850151?&amp;pageIndex=2")
2016-07-22,통계청,2016년 보리 마늘 양파생산량 조사결과 보도자료,=HYPERLINK("http://www.korea.go.kr/ntnadmNews/850212?&amp;pageIndex=1")
2016-07-22,통일부,2016 통일창업 아이디어 공모전 본선진출팀 발표,=HYPERLINK("http://www.korea.go.kr/ntnadmNews/850150?&amp;pageIndex=2")
2016-07-22,한국가스안전공사,2016년 사고조사 전문위원회 개최,=HYPERLINK("http://www.korea.go.kr/ntnadmNews/850213?&amp;pageIndex=1")
2016-07-22,한국농어촌공사,수문기상협력센터 연구직 채용공고(박사 1 석사1 학사1),=HYPERLINK("http://www.korea.go.kr/ntnadmNews/850218?&amp;pageIndex=1")
2016-07-22,한국농어촌공사,한국공인회계사 채용 공고,=HYPERLINK("http://www.korea.go.kr/ntnadmNews/850217?&amp;pageIndex=1")
2016-07-22,한국농어촌공사,제8회 2016년 농어촌퍼실리테이터 필기시험 합격자 공고 및 실기시험 일정 안내,=HYPERLINK("http://www.korea.go.kr/ntnadmNews/850216?&amp;pageIndex=1")
2016-07-22,한국농어촌공사,한국농어촌공사 개방형직위(농어촌자원개발원부원장겸 도농교류센터장) 합격자 공고...,=HYPERLINK("http://www.korea.go.kr/ntnadmNews/850215?&amp;pageIndex=1")
2016-07-22,한국농어촌공사,군대체시설 보상계획 열람공고,=HYPERLINK("http://www.korea.go.kr/ntnadmNews/850214?&amp;pageIndex=1")
2016-07-22,환경부,OIT 함유 항균필터가 사용된 기기명을 추가 공개해요,=HYPERLINK("http://www.korea.go.kr/ntnadmNews/850149?&amp;pageIndex=2")
2016-07-22,환경부,'자동차 공회전' 이젠 안 돼요!,=HYPERLINK("http://www.korea.go.kr/ntnadmNews/829360?&amp;pageIndex=2")
2016-07-22,환경부,소비자 빈병 반환율 증가 추세 보여,=HYPERLINK("http://www.korea.go.kr/ntnadmNews/829358?&amp;pageIndex=3")
2016-07-22,강원도?강릉시,7. 22(금) 보도자료,=HYPERLINK("http://www.korea.go.kr/locgovNews/850088?&amp;pageIndex=6")
2016-07-22,강원도?홍천군,서면 마곡리 모마선(서면201호선) 도로확포장공사 편입물건 보상계획 열람 공고,=HYPERLINK("http://www.korea.go.kr/locgovNews/850087?&amp;pageIndex=6")
2016-07-22,강원도?홍천군,홍천 군계획시설(연구시설)사업 실시계획(변경)인가 고시,=HYPERLINK("http://www.korea.go.kr/locgovNews/850086?&amp;pageIndex=6")
2016-07-22,강원도?화천군,용역 전자수의견적 안내공고,=HYPERLINK("http://www.korea.go.kr/locgovNews/850195?&amp;pageIndex=3")
2016-07-22,강원도?화천군,학생 수송 버스임차용역 전자수의견적 안내(민간입찰대행),=HYPERLINK("http://www.korea.go.kr/locgovNews/850194?&amp;pageIndex=3")
2016-07-22,경기도?군포시,산본동 9단지 아파트 상가 간판이 아름다운 거리 조성사업 사업자 선정 입찰 재공고...,=HYPERLINK("http://www.korea.go.kr/locgovNews/850079?&amp;pageIndex=7")
2016-07-22,경기도?남양주시,남양주시 별빛도서관 매점및 자동판매기 설치허가 공고,=HYPERLINK("http://www.korea.go.kr/locgovNews/850254?&amp;pageIndex=1")
2016-07-22,경기도?동두천시,동두천시청직장금고 기간제근로자 조리원 채용 공고,=HYPERLINK("http://www.korea.go.kr/locgovNews/850077?&amp;pageIndex=7")
2016-07-22,경기도?시흥시,2016년 문화예술법인?단체 활동 지원사업 2차 공고,=HYPERLINK("http://www.korea.go.kr/locgovNews/850144?&amp;pageIndex=5")
2016-07-22,경기도?시흥시,시흥시 시세 조례 전부개정조례안 입법에고 및 의견조회,=HYPERLINK("http://www.korea.go.kr/locgovNews/850142?&amp;pageIndex=5")
2016-07-22,경상남도?김해시,주택건설사업계획승인 및 도시관리계획(지구단위계획) 결정(변경) 지형도면 고시(율...,=HYPERLINK("http://www.korea.go.kr/locgovNews/850204?&amp;pageIndex=2")
2016-07-22,경상남도?김해시,통신판매업 신고사항 직권말소 처분 공고,=HYPERLINK("http://www.korea.go.kr/locgovNews/850203?&amp;pageIndex=2")
2016-07-22,경상남도?남해군,남해군 상주면 주부민방위기동대 “안전하고 깨끗한 관광1번지 상주 조성할 터”,=HYPERLINK("http://www.korea.go.kr/locgovNews/850096?&amp;pageIndex=5")
2016-07-22,경상남도?남해군,남해군 하반기 농어촌 진흥기금 융자지원금 신청 접수,=HYPERLINK("http://www.korea.go.kr/locgovNews/850095?&amp;pageIndex=5")
2016-07-22,경상남도?남해군,남해전통시장 ‘수산물 특성화 시장’ 육성 모색,=HYPERLINK("http://www.korea.go.kr/locgovNews/850094?&amp;pageIndex=5")
2016-07-22,경상남도?남해군,남해군 마을정비형 공공주택 공모사업 참여…현장조사단 방문,=HYPERLINK("http://www.korea.go.kr/locgovNews/850093?&amp;pageIndex=5")
2016-07-22,경상남도?남해군,남해군 삼동면 지족 삼거리 교통량 분산 모의실험,=HYPERLINK("http://www.korea.go.kr/locgovNews/850092?&amp;pageIndex=5")
2016-07-22,경상남도?남해군,남해군 마을정비형 공공주택 공모사업 참여…현장조사단 방문,=HYPERLINK("http://www.korea.go.kr/locgovNews/850091?&amp;pageIndex=6")
2016-07-22,경상남도?남해군,남해군 삼동면 지족 삼거리 교통량 분산 모의실험,=HYPERLINK("http://www.korea.go.kr/locgovNews/850090?&amp;pageIndex=6")
2016-07-22,경상남도?진주시,자동차관리법 위반 고지서 반송분 공시송달 공고(정기검사 미필 및 지연 본부과),=HYPERLINK("http://www.korea.go.kr/locgovNews/850084?&amp;pageIndex=6")
2016-07-22,경상남도?진주시,진주시립 이성자미술관(제2기) 도슨트(전시설명 자원봉사자) 모집,=HYPERLINK("http://www.korea.go.kr/locgovNews/850083?&amp;pageIndex=6")
2016-07-22,경상북도,경북 농업인 5명 신지식농업인 선정,=HYPERLINK("http://www.korea.go.kr/locgovNews/850256?&amp;pageIndex=1")
2016-07-22,경상북도,경북도 과수통합브랜드 ‘daily’ 출시,=HYPERLINK("http://www.korea.go.kr/locgovNews/849911?&amp;pageIndex=8")
2016-07-22,경상북도,“대구공항 통합이전 시군 개별 활동 자제해야”,=HYPERLINK("http://www.korea.go.kr/locgovNews/849910?&amp;pageIndex=9")
2016-07-22,경상북도?포항시,탄소포인트제 인센티브（2015년 하반기분）지급금액 공시송달,=HYPERLINK("http://www.korea.go.kr/locgovNews/850146?&amp;pageIndex=4")
2016-07-22,경상북도?포항시,농지 처분명령 유예통지 공시송달 공고,=HYPERLINK("http://www.korea.go.kr/locgovNews/850145?&amp;pageIndex=4")
2016-07-22,광주광역시,어린이·청소년 실태조사 보조사업 수행단체 모집 공고(2차),=HYPERLINK("http://www.korea.go.kr/locgovNews/850201?&amp;pageIndex=2")
2016-07-22,광주광역시,2016년 도시가스 공급비용 조정,=HYPERLINK("http://www.korea.go.kr/locgovNews/849967?&amp;pageIndex=8")
2016-07-22,광주광역시,2016년도 기존주택 매입·전세임대 공동생활가정 운영기관 모집 공고,=HYPERLINK("http://www.korea.go.kr/locgovNews/849966?&amp;pageIndex=8")
2016-07-22,광주광역시,광주동북권아동보호전문기관(가칭) 운영사업자 공모 변경 공고,=HYPERLINK("http://www.korea.go.kr/locgovNews/849965?&amp;pageIndex=8")
2016-07-22,광주광역시,광주광역시 광역치매센터 설치·운영 업무수탁기관 공모,=HYPERLINK("http://www.korea.go.kr/locgovNews/849964?&amp;pageIndex=8")
2016-07-22,광주광역시?광산구,「양산지구」지적재조사사업 실시계획 공람공고,=HYPERLINK("http://www.korea.go.kr/locgovNews/849968?&amp;pageIndex=8")
2016-07-22,대구광역시?달서구,EM 발효액 만들기 및 사용방법,=HYPERLINK("http://www.korea.go.kr/locgovNews/850143?&amp;pageIndex=5")
2016-07-22,대구광역시?달서구,2016년 제4회 압류자동차 공매처분 공고,=HYPERLINK("http://www.korea.go.kr/locgovNews/850078?&amp;pageIndex=7")
2016-07-22,대구광역시?동구,전문건설업 신규등록 공고(경동나비엔남동구대리점),=HYPERLINK("http://www.korea.go.kr/locgovNews/850081?&amp;pageIndex=7")
2016-07-22,대전광역시,대전 소재 대학 청년졸업생 대전 거주율 매년 증가,=HYPERLINK("http://www.korea.go.kr/locgovNews/850221?&amp;pageIndex=2")
2016-07-22,대전광역시,대전시 자동차 배출가스 단속 강화,=HYPERLINK("http://www.korea.go.kr/locgovNews/850220?&amp;pageIndex=2")
2016-07-22,대전광역시,성심당 창업 60주년 기념 청소년 직업체험 실시,=HYPERLINK("http://www.korea.go.kr/locgovNews/850219?&amp;pageIndex=2")
2016-07-22,대전광역시,대전정보문화산업진흥원 대전철도문화유산 다큐멘터리 제작지원,=HYPERLINK("http://www.korea.go.kr/locgovNews/850163?&amp;pageIndex=4")
2016-07-22,대전광역시,대전시 지방재정 조기집행 추진‘최우수기관’선정,=HYPERLINK("http://www.korea.go.kr/locgovNews/850162?&amp;pageIndex=4")
2016-07-22,대전광역시,전국기능대회 대전 대표 선수들 힘내세요,=HYPERLINK("http://www.korea.go.kr/locgovNews/850161?&amp;pageIndex=4")
2016-07-22,대전광역시,더불어민주당-대전시 예산정책협의회 개최,=HYPERLINK("http://www.korea.go.kr/locgovNews/850160?&amp;pageIndex=4")
2016-07-22,대전광역시,중앙시장 내‘중앙메가프라자’청년몰 조성사업 추진,=HYPERLINK("http://www.korea.go.kr/locgovNews/850159?&amp;pageIndex=4")
2016-07-22,부산광역시?서구,2015년 2분기 거주불명등록자의 행정상 관리주소 이전 직권조치결과 공고,=HYPERLINK("http://www.korea.go.kr/locgovNews/849889?&amp;pageIndex=9")
2016-07-22,부산광역시?서구,충무쇼핑~천마로간 도로개설공사 수용재결서 정본 공시송달 공고,=HYPERLINK("http://www.korea.go.kr/locgovNews/849888?&amp;pageIndex=9")
2016-07-22,부산광역시?서구,북산리 공영주차장 위탁운영 전자입찰 재공고,=HYPERLINK("http://www.korea.go.kr/locgovNews/849887?&amp;pageIndex=9")
2016-07-22,부산광역시?수영구,광안1지구 지적재조사사업 측량 조사 등의 대행자 선정 공고(호외) 게재 의뢰,=HYPERLINK("http://www.korea.go.kr/locgovNews/850080?&amp;pageIndex=7")
2016-07-22,서울특별시?구로구,정보화교실 초등학생 여름방학 특강 안내,=HYPERLINK("http://www.korea.go.kr/locgovNews/850089?&amp;pageIndex=6")
2016-07-22,서울특별시?성동구,보건소 구급차(특수) 내부 영상기록장치 설치를 위한 행정예고,=HYPERLINK("http://www.korea.go.kr/locgovNews/850202?&amp;pageIndex=2")
2016-07-22,서울특별시?양천구,아동성범죄 및 아동학대예방 무료강좌 안내,=HYPERLINK("http://www.korea.go.kr/locgovNews/850085?&amp;pageIndex=6")
2016-07-22,울산광역시,울산시 참돔 치어 17만 8,000마리 방류,=HYPERLINK("http://www.korea.go.kr/locgovNews/849981?&amp;pageIndex=7")
2016-07-22,울산광역시,서울지역 단체관광객 “여름휴가 보내러 울산으로!”,=HYPERLINK("http://www.korea.go.kr/locgovNews/849980?&amp;pageIndex=7")
2016-07-22,울산광역시,울산의 해양문화 해녀(海女)의 이해,=HYPERLINK("http://www.korea.go.kr/locgovNews/849979?&amp;pageIndex=7")
2016-07-22,울산광역시,울산시 ‘재난대비 도상훈련 및 연찬회’ 개최,=HYPERLINK("http://www.korea.go.kr/locgovNews/849978?&amp;pageIndex=7")
2016-07-22,울산광역시,울산시 문화관광해설사 환대 서비스 강화,=HYPERLINK("http://www.korea.go.kr/locgovNews/849977?&amp;pageIndex=7")
2016-07-22,인천광역시,(7/19) 오존 주의보 해제 [영종권역 동남부권역],=HYPERLINK("http://www.korea.go.kr/locgovNews/849972?&amp;pageIndex=8")
